Af_As_syn	Af_As_ns	Af_An_syn	Af_An_ns	As_An_syn	As_An_ns	As_syn_pol	As_ns_pol	Afr_syn_pol	Afr_ns_pol	len	stat	CDS
1	1	1	1	0	0	1	3	0	1	1023	0.5	rna0_gene=SYCE1
1	3	2	0	1	3	5	3	3	2	2511	0.444444444444445	rna4_gene=ZNF717
2	0	4	1	2	1	1	0	1	0	1425	1.46666666666667	rna6_gene=CYP2E1
0	1	3	2	3	1	4	6	1	2	966	-0.571428571428571	rna7_gene=LOC100067067
1	5	0	6	2	1	1	3	0	3	948	0.583333333333333	rna8_gene=LOC100067042
4	5	4	9	2	6	3	10	0	0	648	2.41212121212121	rna9_gene=LOC106782021
2	11	2	10	2	8	6	8	0	2	1008	0.444444444444445	rna10_gene=LOC100066894
2	8	0	4	2	8	3	4	2	10	1020	1.36363636363636	rna11_gene=LOC100066869
4	3	7	15	8	12	2	5	5	5	3078	2.32222222222222	rna12_gene=LOC100066851
0	0	4	0	4	0	5	0	1	1	957	-4.6	rna13_gene=LOC100066391
3	4	3	5	2	7	2	1	0	2	1104	2.625	rna14_gene=LOC100066831
0	3	1	8	1	5	3	6	1	2	936	2.42857142857143	rna15_gene=LOC100066808
2	11	3	9	3	14	5	7	10	22	972	1.00815217391304	rna16_gene=LOC100066787
1	2	0	1	1	1	2	0	0	2	1212	-0.833333333333333	rna18_gene=MTG1
0	4	1	3	1	3	3	4	1	1	1485	-0.4	rna19_gene=PAOX
0	0	2	0	2	0	1	1	1	0	939	0	rna20_gene=ECHS1
1	0	0	2	1	2	0	1	0	0	525	3.5	rna21_gene=FUOM
1	1	0	3	1	2	0	1	0	2	639	1.58333333333333	rna22_gene=PRAP1
2	2	2	3	2	1	1	0	0	0	783	0.666666666666667	rna23_gene=CALY
1	0	2	1	1	1	1	0	3	1	1248	2.33333333333333	rna24_gene=LOC106782066
2	2	4	4	2	2	0	0	2	0	663	3	rna26_gene=ZNF511
3	0	9	3	6	3	6	1	2	0	1761	2.325	rna27_gene=TUBGCP2
0	0	1	0	1	0	0	0	0	0	399	0	rna28_gene=LOC106782023
1	4	5	6	4	4	5	3	2	3	4029	-1.375	rna29_gene=LOC100050566
4	1	8	4	8	3	3	4	1	3	1722	0.313333333333333	rna30_gene=ADGRA1
15	12	25	12	14	6	12	4	4	4	7782	-0.399166666666666	rna31_gene=CFAP46
2	0	3	0	3	0	1	0	0	0	1248	0.0833333333333334	rna33_gene=INPP5A
2	1	5	2	5	1	4	2	1	0	1536	0.444444444444444	rna36_gene=PWWP2B
0	3	1	2	1	5	2	4	0	0	1251	0.9	rna38_gene=LRRC27
0	0	1	0	1	0	5	0	3	1	1113	-2	rna39_gene=STK32C
3	5	9	3	6	2	7	2	3	1	2166	-2.05714285714286	rna40_gene=DPYSL4
1	1	6	1	5	0	5	0	4	0	2502	-3.57142857142857	rna42_gene=JAKMIP3
1	0	1	0	0	0	0	0	1	0	876	1.5	rna49_gene=PPP2R2D
4	5	7	11	3	6	3	3	2	1	1782	2.8	rna52_gene=TCERG1L
0	1	0	1	0	0	0	0	0	0	609	1	rna53_gene=GLRX3
1	0	2	0	1	0	5	0	1	2	618	0.222222222222222	rna59_gene=MGMT
7	9	15	31	11	24	14	33	13	31	7257	1.24264705882353	rna61_gene=MKI67
0	0	4	1	4	1	5	1	4	3	2106	-1.3	rna63_gene=PTPRE
1	5	4	4	3	1	2	2	1	0	690	-0.5	rna67_gene=CLRN3
4	5	5	10	1	5	2	5	1	1	1641	2.73333333333333	rna68_gene=FOXI2
4	0	9	0	7	0	10	1	3	3	5640	-0.3125	rna69_gene=DOCK1
3	0	6	2	3	2	2	5	1	2	1467	0.535714285714286	rna70_gene=FAM196A
0	1	1	7	1	6	2	3	1	5	2121	2.45833333333333	rna71_gene=C1H10orf90
1	0	5	1	4	1	5	4	2	2	2643	0.213333333333333	rna73_gene=ADAM12
0	1	3	1	3	0	3	1	1	1	1227	-3	rna74_gene=FANK1
